Product Name,Manufacturer,CPU manufacturer,CPU brand modifier,CPU generation,CPU Speed (GHz),RAM (GB),RAM Type,Bus (MHz),Storage (GB),Screen Size (inch),Screen Resolution,Refresh Rate (Hz),GPU manufacturer,Weight (kg),Battery,Price (VND),url,source,saved_path,detail_specs_html_path
"Dell DC15255 NKFV | Ryzen 5 7530U, 8GB, 1TB, Radeon Graphics, 15.6 inch FHD, Cảm ứng, Carbon Black",dell,AMD,ryzen 5,5,,8,DDR4,,1000,15.6,1920 x 1080,,Intel,1.65,41 Wh,65990000,https://laptopaz.vn/dell-dc15255-nkfv-ryzen-5-7530u-8gb-1tb-radeon-graphics-15.6-inch-fhd-cam-ung-carbon-black.html,az,,
"Laptop Dell Pro 15 Essential PV15255 NKFV | Ryzen 5 7520U, 8GB, 512GB, 15.6 inch FHD IPS 120Hz, Ubuntu",dell,AMD,ryzen 5,5,4.300,8,LPDDR5,,512,15.6,1920 x 1080,120,AMD,1.63,41 Wh,18990000,https://laptopaz.vn/laptop-dell-pro-15-essential-pv15255-nkfv-ryzen-5-7520u-8gb-512gb-15.6-inch-fhd-ips-120hz-ubuntu.html,az,,
"Lenovo Xiaoxin Pro 14c AHP10R 2025 NKFV | Ryzen 7 H 255, 24GB, 1TB, 14.0'' 2.8K OLED 120Hz",lenovo,AMD,ryzen 7,7,3.8,24,DDR5,,1000,14.0,2880 x 1800,120,AMD,1.39,60 Wh,22890000,https://laptopaz.vn/lenovo-xiaoxin-pro-14c-ahp10r-2025-nkfv-ryzen-7-h-255-24gb-1tb-14.0-2.8k-oled-120hz.html,az,,
"Lenovo Thinkbook 14 G7+ AHP 21U40001CD NKFV | Ryzen 7 H 255, 24GB, 512GB, 14.5 icnh 2K+ 90Hz",lenovo,AMD,ryzen 7,7,3.8,24,LPDDR5,,512,,2560 x 1600,90,AMD,1.5,85 Wh,28990000,https://laptopaz.vn/lenovo-thinkbook-14-g7-01cd-2025-nkfv-ryzen-7-h-255-24gb-512gb-14.5-icnh-2k-90hz.html,az,,
"MSI Katana 15 HX B14WEK- 286VN | Core i5 14450HX, 16GB, 512GB, RTX 5050 8GB, 15.6 icnh QHD 165Hz 100% DCI-P3",msi,Intel,i5-14450hx,14,4.80,16,DDR5,5600,512,15.6,2560 x 1440,165,NVIDIA,2.4,75 Wh,51990000,https://laptopaz.vn/msi-katana-15-hx-b14wek-286vn-core-i5-14450hx-16gb-512gb-rtx-5050-8gb-15.6-icnh-qhd-165hz-100-dci-p3.html,az,,
"Dell DC15250 NKFV | Core i5-1334U, 8GB, 512GB, Intel UHD Graphics, 15.6 icnh FHD 120Hz, Ubuntu Black",dell,Intel,i5-1334u,13,4.60,8,DDR4,2666,512,15.6,1920 x 1080,120,Intel,1.65,41 Wh,65990000,https://laptopaz.vn/dell-dc15250-nkfv-core-i5-1334u-8gb-512gb-intel-uhd-graphics-15.6-icnh-fhd-120hz-ubuntu-black.html,az,,
"Asus TUF Gaming F16 FX607VJB-RL151W | Core 5 210H, 16GB, 512GB, RTX 3050 6GB, 16 inch FHD+ 144Hz",asus,Intel,,,2.20,16,DDR5,5600,512,16,1920 x 1200,144,NVIDIA,2.20,56 Wh,59990000,https://laptopaz.vn/asus-tuf-gaming-f16-fx607vjb-rl151w-core-5-210h-16gb-512gb-rtx-3050-6gb-16-inch-fhd-144hz.html,az,,
"Lenovo IdeaPad Slim 3 14 AHP10 83K90003CD 2025 NKFV | Xiaoxin 14c | Ryzen 7-8745HS, 16GB, 512GB, AMD 780M, 14 Inch FHD+",lenovo,AMD,ryzen 7,7,3.8,16,LPDDR5,5600,512,14,1920 x 1200,60,AMD,,50 Wh,28990000,https://laptopaz.vn/lenovo-ideapad-slim-3-14-ahp10-83k90003cd2025-nkfv-xiaoxin-14c-ryzen-7-8745hs-16gb-512gb-amd-780m-14-inch-fhd.html,az,,
"Dell Inspiron 14 Plus 7440F NKFV | Intel Core 5 - 210H, 16GB, 512GB, Intel Iris Xe Graphics, 14 Inch FHD",dell,Intel,,,2.2,16,DDR5,,512,14,,60,Intel,1.6,54 Wh,65990000,https://laptopaz.vn/dell-inspiron-14-plus-7440f-nkfv-intel-core-5-210h-16gb-512gb-intel-iris-xe-graphics-14-inch-fhd.html,az,,
"Laptop Acer Nitro V ANV15-41-R732 NH.QPESV.005 | Ryzen 5 6600H, 16GB, 512GB, RTX 4050 6GB, 15.6 inch FHD IPS 165Hz",acer,AMD,ryzen 5,5,4.5,16,DDR5,4800,2000,15.6,1920 x 1080,165,NVIDIA,2.1,57 Wh,52490000,https://laptopaz.vn/laptop-acer-nitro-v-anv15-41-r732-nh.qpesv.005-ryzen-5-6600h-16gb-512gb-rtx-4050-6gb-15.6-inch-fhd-ips-165hz.html,az,,
